,지점명,주소,구
283,배스배스킨라빈스 한남점, 대한민국 서울특별시 용산구 한남동 대사관로 68,용산구
284,탈레탈레스, 대한민국 서울특별시 용산구 한남동 독서당로 98,용산구
285,신한신한은행ATM 왕십리역, 대한민국 서울특별시 성동구 행당동 196-27,성동구
286,국민국민은행ATM 한양대지점, 대한민국 서울특별시 성동구 행당동 158-53,성동구
287,신한신한은행ATM, 대한민국 서울특별시 성동구 사근동 마조로 22-2,성동구
288,하나하나은행 옥수역지점, 대한민국 서울특별시 성동구 옥수동 한림말길 53,성동구
289,KEKEB하나은행 화양지점, 대한민국 서울특별시 광진구 화양동 동일로 180,광진구
290,국민국민은행ATM, 대한민국 서울특별시 광진구 화양동 3-26,광진구
291,국민국민은행ATM 화양동지점, 대한민국 서울특별시 광진구 화양동 111-102,광진구
292,신한신한은행ATM 건국대학교지점, 대한민국 서울특별시 광진구 화양동 1,광진구
293,하나하나은행ATM 군자동지점, 대한민국 서울특별시 광진구 군자동 346-24,광진구
294,우리우리은행ATM 광장동지점, 대한민국 서울특별시 광진구 광장동 218-1,광진구
295,국민국민은행 건대역지점, 대한민국 서울특별시 광진구 화양동 48-3,광진구
296,신한신한은행 ATM 서울성심병원," 대한민국 서울특별시 동대문구 왕산로, 259",동대문구
