,arsid,stid,stnm,x,y
19562,20836,119900150,경성의원.새마을금고앞,126.9359804244,37.5127937149
19563,20729,119900190,경성의원.새마을금고앞,126.935954556,37.5126188873
19564,5512,104900056,구.새마을금고앞,127.08717092379999,37.561441727100004
19565,5246,104000153,군자새마을금고앞,127.07108775540001,37.5513566499
19566,8786,107900150,길음1동주민센터.길음중앙새마을금고앞,127.0197436999,37.609922941
19567,6535,105900013,새마을금고앞,127.0601637112,37.5977887402
19568,6543,105900014,새마을금고앞,127.0602362489,37.5978607902
19569,12329,111000239,새마을금고앞,126.91208593309999,37.5889064276
19570,12330,111000240,새마을금고앞,126.9123692391,37.5887219151
19571,12331,111000241,미성아파트앞,126.9097381758,37.590157169099996
19572,12332,111000242,미성아파트앞,126.9101746617,37.5897240784
19573,12333,111000243,상신중학교앞,126.90607772979999,37.5906363957
19574,12334,111000244,상신중학교앞,126.9056010077,37.5906270045
19575,12321,111000231,수색대림아파트,126.90020701610001,37.585871126
19576,12323,111000233,수색대림아파트,126.9002689854,37.5861018572
19577,13285,112000202,서부운수기점,126.910257,37.581632
19578,13236,112000153,북가좌119안전센터,126.91262086209998,37.5827046271
19579,13237,112000154,북가좌119안전센터,126.91240181469999,37.583148701999995
19580,13217,112000134,명지대입구.서울무용센터,126.9272548686,37.580905163400004
19581,11714,110900088,공릉동두산아파트,127.07952159879999,37.6224255825
19582,17118,116000032,구로두산아파트,126.890072,37.488807
19583,6225,105000139,답십리2동두산아파트,127.05831631209999,37.5727267628
19584,20805,119900170,도시가스.두산아파트,126.94470209049999,37.505053155
19585,13338,112000431,두산아파트,126.9319058543,37.5786885523
19586,13506,112900005,두산아파트,126.949261098,37.559120161100005
19587,13886,112900138,두산아파트,126.93204282219999,37.5787201694
19588,21877,120900148,두산아파트,126.9466789803,37.4847359856
19589,0,221000044,두산아파트,127.1353608575,37.592215314200004
19590,0,222000146,두산아파트.경향아파트,127.3010679579,37.647176776900004
19591,0,222000147,두산아파트.경향아파트,127.3010602237,37.646996565
19592,11194,110000094,두산아파트.도심공항수락터미널,127.0532633606,37.6786388885
19593,11195,110000095,두산아파트.도심공항수락터미널,127.053276826,37.6784442501
19594,0,222000263,두산아파트.벽산아파트,127.216709556,37.5801559646
19595,0,222000273,두산아파트.벽산아파트,127.21662447290001,37.5799665038
19596,4757,103900006,두산아파트109동,127.0167637359,37.5498179638
19597,4760,103900137,두산아파트109동,127.0168497589,37.5498566987
19598,4767,103900001,두산아파트111동,127.0161833258,37.5506803927
19599,4756,103900007,두산아파트111동,127.016075787,37.550588495700005
19600,4761,103900138,두산아파트115동,127.0161120834,37.5509579397
19601,8963,107900349,두산아파트3단지,127.0388917216,37.6052005472
19602,21526,120900061,두산아파트입구,126.94682482530001,37.4847729966
19603,4503,103900021,두산아파트정문.금호역,127.0168426701,37.5485311887
19604,4763,103900140,두산아파트정문.금호역,127.0166706406,37.5485140923
19605,8543,107900056,두산아파트후문,127.0402905965,37.605962848000004
19606,7238,106000143,면목두산아파트1차,127.0838863683,37.5819331246
19607,7239,106000144,면목두산아파트1차,127.08348656860001,37.5818306838
19608,7415,106000477,면목두산아파트2.3단지,127.08267832870001,37.579814057
19609,7244,106000149,면목두산아파트2차,127.0848478468,37.581107940100004
19610,7245,106000150,면목두산아파트2차,127.08443783770001,37.5809856858
19611,7240,106000145,면목두산아파트4.5단지,127.0813452708,37.5785152657
19612,7241,106000146,면목두산아파트4.5단지,127.08091173950001,37.578609277
19613,21200,120000098,벽산.두산아파트.서울관광고등학교,126.94517453889999,37.486964630100005
19614,14596,113900076,상수두산아파트,126.92444099209999,37.5475467474
19615,0,210000137,원미두산아파트,126.79163195139999,37.495091716
19616,0,210000153,원미두산아파트,126.7915456799,37.4954375914
19617,8287,107000191,월곡동두산아파트,127.03659179,37.6066191426
19618,8288,107000192,월곡동두산아파트,127.03664634440001,37.607002988400005
19619,21256,120000154,은천동두산아파트3단지,126.94666673260001,37.4844674508
19620,1231,100000135,종로구민회관.창신동두산아파트,127.0155555279,37.5740926792
19621,13202,112000119,홍연2교두산아파트앞,126.9308803247,37.578421233600004
19622,13626,112000256,서대문문화체육회관,126.9349134591,37.5807483392
19623,13844,112900013,서대문문화체육회관,126.9322126182,37.5812559352
19624,13539,112900098,서대문문화체육회관,126.9319952523,37.5812287775
19625,13201,112000118,서대문문화체육회관입구,126.93539069209999,37.5814081994
19626,13258,112000175,명지대입구.신원지벤스타,126.9280443741,37.5805560243
19627,13236,112000153,북가좌119안전센터,126.91262086209998,37.5827046271
19628,13237,112000154,북가좌119안전센터,126.91240181469999,37.583148701999995
19629,12001,111000001,덕은교.은평차고지앞,126.88411447700001,37.5895977455
19630,12002,111000002,덕은교.은평차고지앞,126.8847866387,37.5891649798
19631,12314,111000224,덕은교.은평차고지앞,126.885614161,37.5885782748
19632,12315,111000225,덕은교.은평차고지앞,126.8834469451,37.589961128
19633,35341,111000908,덕은교.은평차고지앞,126.8837780252,37.589686622399995
19634,14295,113000201,월드컵파크4단지후문.JTBC,126.89006831379999,37.5773855678
19635,14306,113000203,월드컵파크4단지후문.JTBC,126.89002806319999,37.5778099439
19636,13234,112000151,북가좌사거리,126.91425503209999,37.5814452007
19637,13235,112000152,북가좌사거리,126.91414248870001,37.5818379941
19638,13972,112900255,북가좌사거리,126.914711506,37.5814833454
19639,13267,112000184,DMC두산위브아파트,126.915323745,37.5805574973
19640,13268,112000185,DMC두산위브아파트,126.9158526612,37.580411898899996
19641,38068,213000172,광복시장.철산두산위브아파트,126.8650938246,37.4895413269
19642,38078,213000179,광복시장.철산두산위브아파트,126.86513360309999,37.4896648767
19643,18122,117000036,구립가산도서관.두산위브아파트,126.8939435342,37.4744665646
19644,18123,117000037,구립가산도서관.두산위브아파트,126.8946418527,37.4739535588
19645,18803,117900019,구립가산도서관.두산위브아파트,126.8923053067,37.4736405707
19646,18548,117900083,구립가산도서관.두산위브아파트,126.8924060994,37.4735235187
19647,12499,111001124,덕산중학교.두산위브아파트,126.90458047770001,37.6003715553
19648,9920,108900250,두산위브아파트,127.01541989879999,37.6190948303
19649,20990,119900280,두산위브아파트,126.97087545459999,37.484877791
19650,9221,108000133,두산위브아파트입구,127.0163558042,37.6200029974
19651,9222,108000134,두산위브아파트입구,127.0161949742,37.6201498963
19652,18794,117900026,두산위브아파트정문,126.8936139249,37.4748870849
19653,18561,117900073,두산위브아파트정문,126.89388189540001,37.474880117
19654,12415,111000320,응암정보도서관,126.91975016139999,37.5864005517
19655,12416,111000321,응암정보도서관,126.9201891291,37.5867495708
19656,12417,111000322,서울중앙교회앞,126.91814354030001,37.5852370433
19657,13265,112000182,은가어린이공원구150번종점,126.9196202751,37.5829339719
19658,12418,111000323,우성공인중개사,126.91887635100001,37.5850429138
19659,12415,111000320,응암정보도서관,126.91975016139999,37.5864005517
19660,12416,111000321,응암정보도서관,126.9201891291,37.5867495708
19661,12265,111000175,충암고교앞.대주피오레아파트,126.9226529706,37.5868458253
19662,12266,111000176,충암고교앞.대주피오레아파트,126.92285214569999,37.5869567896
19663,12473,111000940,응암초교.백련산힐스테이트3차,126.92271438610001,37.5887750972
19664,12475,111001120,응암초교.백련산힐스테이트3차,126.9225641824,37.588628444
19665,12267,111000177,백련산힐스테이트2차,126.9228701963,37.5903133577
19666,12885,111901143,백련산힐스테이트2차상가앞,126.923109976,37.5919225483
19667,12884,111901142,백련산힐스테이트2차앞,126.9227502243,37.5891130149
19668,12263,111000173,시립은평병원,126.9229722523,37.5934717394
19669,12268,111000178,시립은평병원,126.92315686299999,37.593447530300004
19670,12598,111900030,시립은평병원.파크자이아파트,126.92218830709999,37.5931435245
19671,12501,111900101,시립은평병원.파크자이아파트,126.9220541967,37.593453815100005
19672,12262,111000172,영락중학교입구,126.92422209620001,37.5971733165
19673,12269,111000179,영락중학교입구,126.92416574,37.5969092616
19674,12476,111000943,녹번센트레빌아파트,126.9259022216,37.598799945100005
19675,12477,111000944,녹번센트레빌아파트,126.92598114100001,37.599159528499996
19676,12261,111000171,응암1동주민센터,126.9268429161,37.6003855444
19677,12270,111000180,응암1동주민센터,126.92704562879999,37.600396483000004
19678,12126,111000038,은평구청,126.930407158,37.601427554299995
19679,12135,111000047,은평구청,126.9302975489,37.601161669
19680,12125,111000037,녹번역,126.9333610863,37.601156229699995
19681,12381,111000291,녹번역,126.9347884634,37.6007308128
19682,12028,111000937,녹번역,126.9350485981,37.602434911799996
19683,12027,111000938,녹번역,126.93532204200001,37.6018619707
19684,2113,101000020,서대문경찰서.농협은행.유관순활동터,126.9677868059,37.5649062803
19685,2262,101000157,서대문경찰서.농협은행.유관순활동터,126.9675115679,37.5652819605
19686,12125,111000037,녹번역,126.9333610863,37.601156229699995
19687,12381,111000291,녹번역,126.9347884634,37.6007308128
19688,12028,111000937,녹번역,126.9350485981,37.602434911799996
19689,12027,111000938,녹번역,126.93532204200001,37.6018619707
19690,12126,111000038,은평구청,126.930407158,37.601427554299995
